2026-06-20 21:46:27,429 | [None] | mlops.io_operations | io_save_json:150 | INFO | Ensuring directory exists: ./outputs/auto_binning_woe/credit_limit
2026-06-20 21:48:15,928 | [None] | mlops.io_operations | io_save_dataframe_as_csv:100 | INFO | Ensuring directory exists: outputs/logitmodel/metrics
2026-06-20 21:48:15,929 | [None] | mlops.io_operations | io_save_dataframe_as_csv:105 | INFO | Saving DataFrame to CSV at outputs/logitmodel/metrics/decile_analysis.csv with index=False
2026-06-20 21:48:15,930 | [None] | mlops.io_operations | io_save_dataframe_as_csv:110 | INFO | DataFrame saved successfully to outputs/logitmodel/metrics/decile_analysis.csv
2026-06-20 21:48:16,061 | [None] | mlops.io_operations | io_save_figure:762 | INFO | Saving figure to 'outputs/logitmodel/metrics/ks_plot.png' (dpi=300, bbox_inches='tight')
2026-06-20 21:48:16,213 | [None] | mlops.io_operations | io_save_figure:773 | INFO | Figure saved successfully: outputs/logitmodel/metrics/ks_plot.png
2026-06-20 21:48:16,278 | [None] | mlops.io_operations | io_save_figure:762 | INFO | Saving figure to 'outputs/logitmodel/metrics/lift_plot.png' (dpi=300, bbox_inches='tight')
2026-06-20 21:48:16,471 | [None] | mlops.io_operations | io_save_figure:773 | INFO | Figure saved successfully: outputs/logitmodel/metrics/lift_plot.png
2026-06-20 21:48:16,543 | [None] | mlops.io_operations | io_save_figure:762 | INFO | Saving figure to 'outputs/logitmodel/metrics/lorenz_curve_plot.png' (dpi=300, bbox_inches='tight')
2026-06-20 21:48:16,704 | [None] | mlops.io_operations | io_save_figure:773 | INFO | Figure saved successfully: outputs/logitmodel/metrics/lorenz_curve_plot.png
2026-06-20 21:48:16,766 | [None] | mlops.io_operations | io_save_figure:762 | INFO | Saving figure to 'outputs/logitmodel/metrics/roc_auc_plot.png' (dpi=300, bbox_inches='tight')
2026-06-20 21:48:16,916 | [None] | mlops.io_operations | io_save_figure:773 | INFO | Figure saved successfully: outputs/logitmodel/metrics/roc_auc_plot.png
2026-06-20 21:48:16,931 | [None] | mlops.io_operations | io_save_dataframe_as_csv:100 | INFO | Ensuring directory exists: outputs/logitmodel/metrics
2026-06-20 21:48:16,931 | [None] | mlops.io_operations | io_save_dataframe_as_csv:105 | INFO | Saving DataFrame to CSV at outputs/logitmodel/metrics/threshold_analysis.csv with index=False
2026-06-20 21:48:16,932 | [None] | mlops.io_operations | io_save_dataframe_as_csv:110 | INFO | DataFrame saved successfully to outputs/logitmodel/metrics/threshold_analysis.csv
